id,num_highlights
1,2
2,0
3,0
4,0
5,0
6,0
7,0
8,4
9,0
10,0
11,0
12,1
13,0
14,2
15,0
16,2
17,0
18,7
19,0
20,2
21,0
22,0
23,1
24,4
25,0
26,0
27,0
28,0
29,0
30,4
31,0
32,0
33,3
34,3
35,0
36,0
37,0
38,1
39,0
40,3
41,1
42,0
43,2
44,2
45,11
46,0
47,3
48,7
49,0
50,4
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,4
59,0
60,0
61,2
62,0
63,0
64,0
65,0
66,4
67,0
68,0
69,2
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,3
86,0
87,0
88,2
89,0
90,3
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,2
105,4
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,3
116,4
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,7
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,0
142,0
143,8
144,0
145,0
146,7
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,0
167,2
168,0
169,0
170,1
171,0
172,0
173,3
174,2
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,4
183,0
184,0
185,1
186,0
187,26
188,0
189,0
190,0
191,0
192,0
193,0
194,22
195,4
196,0
197,1
198,0
199,34
200,7
201,8
202,1
203,0
204,0
205,5
206,0
207,0
208,2
209,0
210,0
211,0
212,2
213,28
214,0
215,0
216,0
217,0
218,0
219,1
220,3
221,0
222,2
223,0
224,0
225,0
226,0
227,0
228,42
229,0
230,0
231,2
232,10
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,2
248,0
249,0
250,0
251,15
252,0
253,10
254,0
255,2
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,8
281,1
282,1
283,0
284,1
285,0
286,13
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,1
296,2
297,3
298,0
299,1
300,2
301,10
302,0
303,2
304,3
305,0
306,25
307,5
308,4
309,1
310,0
311,3
312,3
313,0
314,0
315,0
316,3
317,1
318,0
319,9
320,0
321,1
322,0
323,1
324,1
325,0
326,2
327,0
328,8
329,0
330,0
331,0
332,0
333,1
334,2
335,0
336,0
337,7
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,2
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,5
356,0
357,0
358,1
359,0
360,0
361,15
362,0
363,3
364,2
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,6
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,4
393,11
394,0
395,0
396,7
397,1
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,3
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,2
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,5
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,2
450,0
451,0
452,0
453,0
454,0
455,6
456,0
457,0
458,0
459,0
460,4
461,1
462,0
463,0
464,4
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,40
506,1
507,0
508,0
509,3
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,3
526,5
527,0
528,4
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,0
543,2
544,0
545,0
546,3
547,0
548,0
549,0
550,1
551,2
552,0
553,0
554,4
555,0
556,0
557,0
558,0
559,0
560,4
561,1
562,8
563,0
564,0
565,0
566,5
567,2
568,2
569,0
570,0
571,0
572,2
573,10
574,4
575,2
576,0
577,0
578,2
579,0
580,0
581,2
582,0
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,3
594,0
595,5
596,0
597,1
598,1
599,0
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,6
608,2
609,1
610,0
611,3
612,0
613,0
614,1
615,0
616,0
617,0
618,1
619,8
620,1
621,0
622,0
623,0
624,3
625,0
626,1
627,0
628,0
629,3
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,3
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,2
666,0
667,0
668,0
669,1
670,5
671,0
672,0
673,0
674,2
675,2
676,0
677,7
678,0
679,5
680,7
681,3
682,0
683,4
684,0
685,0
686,0
687,2
688,0
689,0
690,0
691,1
692,2
693,0
694,1
695,0
696,2
697,0
698,0
699,0
700,0
701,3
702,0
703,0
704,2
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,11
727,0
728,0
729,0
730,0
731,1
732,4
733,0
734,1
735,0
736,0
737,1
738,0
739,6
740,2
741,0
742,0
743,0
744,3
745,0
746,3
747,0
748,2
749,0
750,0
751,3
752,0
753,1
754,1
755,0
756,0
757,2
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,2
768,1
769,1
770,0
771,5
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,2
781,0
782,0
783,2
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,1
793,1
794,0
795,1
796,1
797,2
798,3
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,10
808,6
809,0
810,0
811,0
812,3
813,0
814,0
815,0
816,2
817,2
818,0
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,0
827,0
828,0
829,4
830,1
831,0
832,0
833,5
834,0
835,0
836,0
837,0
838,1
839,0
840,0
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,2
853,0
854,0
855,0
856,1
857,0
858,0
859,0
860,0
861,0
862,4
863,0
864,0
865,0
866,3
867,0
868,0
869,0
870,1
871,0
872,1
873,0
874,0
875,10
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,1
888,0
889,0
890,0
891,0
892,1
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,3
905,1
906,0
907,0
908,0
909,1
910,3
911,2
912,3
913,0
914,0
915,3
916,3
917,0
918,15
919,23
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,0
936,0
937,2
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,3
946,0
947,4
948,0
949,4
950,0
951,0
952,0
953,0
954,9
955,2
956,0
957,2
958,0
959,2
960,0
961,2
962,0
963,0
964,0
965,0
966,2
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,3
975,0
976,0
977,0
978,2
979,0
980,1
981,2
982,0
983,0
984,5
985,0
986,1
987,0
988,0
989,0
990,1
991,2
992,1
993,0
994,1
995,1
996,0
997,3
998,5
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,7
1011,0
1012,0
1013,0
1014,0
1015,0
1016,2
1017,0
1018,1
1019,0
1020,0
1021,10
1022,0
1023,0
1024,4
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,0
1032,2
1033,1
1034,0
1035,15
1036,5
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,3
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,3
1060,0
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,1
1068,8
1069,0
1070,0
1071,0
1072,0
1073,4
1074,1
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,3
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,1
1126,1
1127,2
1128,1
1129,0
1130,0
1131,2
1132,1
1133,2
1134,0
1135,0
1136,4
1137,0
1138,1
1139,0
1140,0
1141,1
1142,2
1143,19
1144,0
1145,0
1146,1
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,4
1154,0
1155,0
1156,0
1157,0
1158,0
1159,9
1160,0
1161,0
1162,0
1163,2
1164,3
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,4
1175,0
1176,0
1177,2
1178,1
1179,1
1180,1
1181,0
1182,0
1183,1
1184,1
1185,2
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,2
1201,0
1202,1
1203,0
1204,2
1205,7
1206,0
1207,5
1208,1
1209,0
1210,0
1211,29
1212,0
1213,2
1214,0
1215,0
1216,4
1217,0
1218,0
