response_id,recorded_datetime,status,progress,is_finished,duration,duration_min,num_snippets,prolific_id
R_eOSosrnczqYqE9P,9/22/20 10:37,IP Address,100,TRUE,1252,21,96,5f56f670e492b316bbd2a47c
R_2XjJU6SMJAlU4I2,9/22/20 10:40,IP Address,100,TRUE,1074,18,120,5e703f3dd6d4336135b8818d
R_1CpRIVeWQ8AGNqi,9/22/20 10:45,IP Address,100,TRUE,2002,34,171,5f206e18fb9d281e91500fcd
R_2wQNxJNyQdjSeq9,9/22/20 11:20,IP Address,100,TRUE,1438,24,145,5d3cc9010e510a00013df6f6
R_qPe5vObZ349P3I5,9/22/20 11:32,IP Address,100,TRUE,3442,58,334,5ec5925cb3d6035afea34d20
R_2Bs2kBIw93NmaCj,9/22/20 12:03,IP Address,100,TRUE,2096,35,235,5e7e6df49867d653e250ade8
R_2wodESRdFsJZ5pq,9/22/20 12:13,IP Address,100,TRUE,2665,45,248,5f3e31e2769ffb267b9d1a24
R_PUpvfu7l6QKh6mJ,9/22/20 12:35,IP Address,100,TRUE,4449,75,223,5f4da07b144b1ca7f76c51ed
R_3p2QR3KSEVmy0d6,9/23/20 9:20,Survey Preview,100,TRUE,3303,56,122,
R_1mOvl29nViC00Om,9/23/20 10:02,Survey Preview,100,TRUE,1126,19,100,
R_27OU6CzuLPmcd3m,9/24/20 15:44,IP Address,100,TRUE,1517,26,104,5e5695b653966101689727e6
R_3RqnqavYAULCLRa,9/24/20 15:54,IP Address,100,TRUE,1827,31,114,5ccd9d0c95e4a30016d4652b
R_2YVCzat5Edfkexn,9/24/20 15:57,IP Address,100,TRUE,2116,36,199,5c587fb58fba0a000189f4d8
R_W2vxxai4v7q8uUF,9/24/20 15:58,IP Address,100,TRUE,2184,37,267,5cfa65c24b639a0019a45c8e
R_un8BFK0QoCkgDIJ,9/24/20 16:02,IP Address,100,TRUE,2117,36,186,5c8becf18f5b6400158e1214
R_RQRoTbUD7VIhjAl,9/24/20 16:02,IP Address,100,TRUE,2716,46,165,5eab7c4c10a7c01634f3b4ef
R_sp56F93gtkQUdoJ,9/24/20 16:05,IP Address,100,TRUE,2953,50,194,5d98bb1424a6e302b056c77e
R_3HMHg1x9JldKGTZ,9/24/20 16:08,IP Address,100,TRUE,2955,50,246,5e9b725d85157c0816f1f0dd
R_1NkwPymSEyk4XxD,9/24/20 16:08,IP Address,100,TRUE,3018,51,327,5c726ae51384ee0001115f7a
