response_id,recorded_datetime,status,progress,is_finished,duration,duration_min,num_snippets,prolific_id
R_2eUMgNrFozgjPf3,10/1/20 13:40,IP Address,100,TRUE,973,17,69,5ecba4b6ef75d53505406d57
R_utbyJnQ1UKOs1mp,10/1/20 13:43,IP Address,100,TRUE,653,11,59,5cdc5a76fa9e8d0001bcb934
R_3nAyzwespvUg02B,10/1/20 13:44,IP Address,100,TRUE,454,8,55,5bf5adc9d944c30001263593
R_32XGNR4nwZcoLZI,10/1/20 13:47,IP Address,100,TRUE,615,11,30,5ebf84f79a8ebe3610e2c79b
R_3rDF5fdF3oDgOuR,10/1/20 13:49,IP Address,100,TRUE,677,12,99,5f3a820565d604693631d6fb
R_YWGiyoyuJx2FDIR,10/1/20 13:52,IP Address,100,TRUE,1359,23,60,5ec5ca6abbd42f64282295d7
R_1CkzzlePivYgMZr,10/1/20 13:53,IP Address,100,TRUE,1322,23,129,5e67d5ca0ec2fc0801580430
R_3EFFKjKVN3PQ0In,10/1/20 13:54,IP Address,100,TRUE,1204,21,114,5f2be37b1e52920009dadba6
R_32JAcjfY3df6fzg,10/1/20 13:55,IP Address,100,TRUE,903,16,68,5e9f3b738bee310bed8379ad
R_1IXCuSnWZ7cyfh3,10/1/20 13:56,IP Address,100,TRUE,1443,25,51,5f74e009929e1012397c31e9
R_32MejXkqXetplmo,10/1/20 13:56,IP Address,100,TRUE,1161,20,119,5e98bfdee3aef30fc9a99e28
R_2U4sdhbvxYpTR5O,10/1/20 13:59,IP Address,100,TRUE,1511,26,97,5865dd647fbbcd00013973b8
R_1PZ7OJP8e7aeIjO,10/1/20 14:00,IP Address,100,TRUE,1160,20,108,5be385ba24f70e00018b0024
R_3GpR4HRv21NuLtm,10/1/20 14:01,IP Address,100,TRUE,1310,22,169,5e93301515768a1680c9705a
R_1pWmg4wjRUOa542,10/1/20 14:01,IP Address,100,TRUE,1343,23,151,5ec6b3ce04e80f0c9a211c5b
R_R8j0APpr9g9xfc5,10/1/20 14:01,IP Address,100,TRUE,1229,21,42,5df7eeb4cc6822000ac81b07
R_1H0Opfec4YYU02C,10/1/20 14:02,IP Address,100,TRUE,1696,29,87,5edede64402f7d18f040266e
R_RUdmhInXoPo1WwN,10/1/20 14:02,IP Address,100,TRUE,1457,25,88,5d2b153afa24ba00173e8ee0
R_1LGAwDpbJTS9frP,10/1/20 14:03,IP Address,100,TRUE,1181,20,68,5d6c12352e6bbb001a122cef
R_2yjBPHu6DffFx8u,10/1/20 14:04,IP Address,100,TRUE,1748,30,112,5f2097ac626bc33b28c2cbf9
R_1rk9ABpZImGhqxT,10/1/20 14:05,IP Address,100,TRUE,1347,23,65,5d722d644fee74001adb559d
R_2PuvY0XMCEk2V8i,10/1/20 14:05,IP Address,100,TRUE,1778,30,32,5dc1e711900e3e15813f7c38
R_TwwLZCED6Zcddv3,10/1/20 14:05,IP Address,100,TRUE,1731,29,83,5f20a219f055ba1937476de0
R_1f8hE2fGENZJBDD,10/1/20 14:05,IP Address,100,TRUE,1483,25,99,5eb0cb5afb9e2418da928edb
R_2rl8NzStbxg2A5z,10/1/20 14:05,IP Address,100,TRUE,1358,23,96,5e1a24eb644d102a0efee857
R_3n2zNVB0rS9PRDT,10/1/20 14:05,IP Address,100,TRUE,1666,28,69,5e830913ff38e3016d1a69f2
R_2ysaHUweAg7K4HR,10/1/20 14:06,IP Address,100,TRUE,1670,28,65,5eed7950a383181a9932bc1b
R_11dXvVViUxpvhcI,10/1/20 14:07,IP Address,100,TRUE,1395,24,169,5d8c7194caeeef001985baf6
R_1rCGrMTNCSgzlep,10/1/20 14:07,IP Address,100,TRUE,1531,26,250,5f23f9035554f32008f8a35e
R_1HksZPLwptmI0jX,10/1/20 14:08,IP Address,100,TRUE,1814,31,70,5bc0878f85819f0001352ab4
R_3nrvRB9rp1gIjBs,10/1/20 14:08,IP Address,100,TRUE,1495,25,93,5eee7e5812de8e32ecde556c
R_21ogAvLp7d36qqW,10/1/20 14:08,IP Address,100,TRUE,1803,31,50,5d60061e45714d00019ad6a4
R_XuZn2HckP0Kb94d,10/1/20 14:09,IP Address,100,TRUE,1783,30,74,5d7b76581390440019b3b928
R_2i6loraoiQh4mtz,10/1/20 14:10,IP Address,100,TRUE,1717,29,95,5f450efcb34be707606d05d4    
R_3kqdN5s9rIMxIbW,10/1/20 14:10,IP Address,100,TRUE,1738,29,88,5e3844c9244f9d04ebae9b97
R_3fZTS7YZsOgvgLM,10/1/20 14:10,IP Address,100,TRUE,1896,32,85,5ef50bc0cb480c14a8f60d38
R_ex4O7yqMdnNIAfL,10/1/20 14:11,IP Address,100,TRUE,1925,33,69,5eccb086d314a0887ac5c3b5
R_3HidL2LaGIlqCy0,10/1/20 14:11,IP Address,100,TRUE,1647,28,93,5ec32348079dcc17451cac16
R_3kH6y9Wi0TBwgnH,10/1/20 14:12,IP Address,100,TRUE,2004,34,79,5eb2c8d889123905858e3c20
R_3gLt41UA6aTK5iw,10/1/20 14:12,IP Address,100,TRUE,1698,29,134,5eeb082290a5841cc8b050eb
R_2dzu9r3ccYAkv4Q,10/1/20 14:13,IP Address,100,TRUE,2283,39,141,5ec4492f675098327a7215d4
R_QhMoKyWgriJMaad,10/1/20 14:13,IP Address,100,TRUE,1921,33,58,5f4d12488c7b550aec05845d
R_277D0uNSAuCYkRj,10/1/20 14:14,IP Address,100,TRUE,2139,36,144,5f05fa1557d36f0f2bacae60
R_1r1gOcKhQUnlMYm,10/1/20 14:14,IP Address,100,TRUE,1897,32,131,5b903f42e4af15000161b7e3
R_1rufxy3l5GJD63n,10/1/20 14:14,IP Address,100,TRUE,2107,36,105,5f1f8b9757a75219b864718c
R_3GjrMwjY0f2fmmX,10/1/20 14:16,IP Address,100,TRUE,2150,36,193,5ed307fdb265ab1797983f68
R_3s4UHRB7BlobVWb,10/1/20 14:16,IP Address,100,TRUE,2390,40,144,5e5bd012663c673b04bcdf42
R_xFuvGzQaNzAuZyh,10/1/20 14:17,IP Address,100,TRUE,2294,39,103,5f623039ea3ae10fb5bde11d
R_26kTPGkH8j9qeIV,10/1/20 14:17,IP Address,100,TRUE,1724,29,110,5e89e620419be567b408e236
R_1QQ48w7zPEZ7kGt,10/1/20 14:17,IP Address,100,TRUE,2216,37,160,5f3020ed291f7344af6d82e1
R_R3KuOywbfyopApr,10/1/20 14:19,IP Address,100,TRUE,2175,37,306,5ee3348f8cfe2d49e6dc98ff
R_3HBaK6jQIamXIps,10/1/20 14:22,IP Address,100,TRUE,910,16,108,5a0ccf780fff620001a6c8a9
R_Tpi9jG206VKmz9D,10/1/20 14:33,IP Address,100,TRUE,3403,57,96,5e6d403dfc5eff000b8329a5
R_3F4FT2lUXu8U23s,10/1/20 14:36,IP Address,100,TRUE,3716,62,426,5f5797583cbc65245d493954
R_sR6RH8z89Ulq8vf,10/1/20 14:38,IP Address,100,TRUE,2973,50,111,5f6b3dbc7a71cb2393732fa5
R_3q8zcT1bRayhWk8,10/1/20 14:44,IP Address,100,TRUE,3649,61,100,5eb1550ac73caa039c6986db
R_p9rDLmewYA2Fagh,10/1/20 14:45,IP Address,100,TRUE,4273,72,459,5f661b5e3512a71b39229e76
R_3lXJ5hWuepJ6WLa,10/1/20 15:34,IP Address,100,TRUE,1492,25,86,5f53bb278de59a6d87e53aab
FS_Pvvf27klRGTjmIp,,IP Address,1,FALSE,1,1,1,5cbb779ffb8dfe0015839672
FS_Xk4jjhD7d54HjJT,,IP Address,1,FALSE,1,1,19,5f23f9035554f32008f8a35e
FS_1dBlMB6Zi7jyiCJ,,IP Address,1,FALSE,1,1,101,5cffec8eb5f15d0017b5dbca
