id,num_highlights
1,0
2,2
3,0
4,2
5,2
6,17
7,3
8,0
9,10
10,37
11,12
12,0
13,3
14,0
15,6
16,0
17,0
18,0
19,2
20,0
21,7
22,3
23,1
24,1
25,1
26,3
27,8
28,72
29,21
30,0
31,6
32,11
33,0
34,0
35,6
36,3
37,3
38,0
39,3
40,0
41,0
42,10
43,1
44,1
45,0
46,3
47,1
48,0
49,2
50,1
51,6
52,1
53,3
54,3
55,1
56,2
57,0
58,0
59,14
60,6
61,0
62,12
63,3
64,9
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,2
75,5
76,0
77,0
78,0
79,0
80,4
81,0
82,8
83,7
84,7
85,0
86,3
87,2
88,0
89,4
90,1
91,1
92,7
93,3
94,3
95,0
96,4
97,2
98,6
99,0
100,1
101,7
102,1
103,9
104,0
105,1
106,2
107,4
108,1
109,3
110,0
111,7
112,7
113,1
114,2
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,1
130,12
131,1
132,3
133,4
134,9
135,4
136,7
137,5
138,0
139,1
140,0
141,3
142,2
143,0
144,5
145,26
146,0
147,7
148,4
149,7
150,2
151,2
152,11
153,0
154,1
155,1
156,2
157,2
158,2
159,0
160,0
161,4
162,4
163,2
164,1
165,6
166,2
167,0
168,50
169,2
170,1
171,2
172,2
173,0
174,0
175,20
176,6
177,9
178,3
179,0
180,15
181,12
182,1
183,8
184,0
185,0
186,13
187,0
188,7
189,3
190,3
191,7
192,2
193,3
194,0
195,1
196,8
197,0
198,11
199,0
200,0
201,0
202,1
203,10
204,6
205,0
206,0
207,2
208,0
209,5
210,3
211,2
212,1
213,0
214,11
215,2
216,12
217,7
218,3
219,0
220,0
221,4
222,1
223,1
224,2
225,2
226,10
227,3
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,9
243,13
244,6
245,3
246,6
247,0
248,10
249,6
250,13
251,0
252,2
253,0
254,23
255,0
256,2
257,1
258,10
259,4
260,0
261,4
262,3
263,5
264,3
265,4
266,11
267,3
268,1
269,11
270,2
271,3
272,1
273,2
274,0
275,1
276,2
277,1
278,4
279,42
280,0
281,0
282,1
283,0
284,0
285,18
286,0
287,5
288,3
289,6
290,6
291,4
292,10
293,0
294,4
295,1
296,0
297,1
298,13
299,0
300,0
301,1
302,2
303,1
304,1
305,4
306,1
307,0
308,1
309,1
310,5
311,0
312,0
313,3
314,7
315,8
316,0
317,1
318,15
319,1
320,7
321,0
322,3
323,0
324,1
325,2
326,1
327,4
328,0
329,3
330,3
331,4
332,3
333,0
334,0
335,5
336,13
337,0
338,2
339,2
340,5
341,8
342,0
343,1
344,0
345,0
346,8
347,15
348,2
349,21
350,0
351,5
352,4
353,0
354,1
355,0
356,5
357,1
358,1
359,5
360,0
361,1
362,8
363,1
364,1
365,25
366,5
367,3
368,5
369,8
370,2
371,13
372,4
373,0
374,2
375,8
376,0
377,4
378,2
379,0
380,0
381,0
382,3
383,3
384,6
385,3
386,1
387,4
388,2
389,0
390,0
391,9
392,1
393,0
394,12
395,11
396,1
397,0
398,3
399,4
400,17
401,1
402,44
403,0
404,4
405,11
406,48
407,0
408,8
409,0
410,6
411,2
412,13
413,4
414,3
415,0
416,0
417,0
418,0
419,2
420,0
421,8
422,0
423,0
424,10
425,3
426,0
427,0
428,2
429,3
430,0
431,15
432,2
433,3
434,1
435,3
436,2
437,1
438,2
439,2
440,0
441,0
442,17
443,1
444,5
445,5
446,1
447,11
448,6
449,0
450,8
451,14
452,6
453,0
454,3
455,0
456,3
457,2
458,0
459,0
460,0
461,0
462,0
463,3
464,0
465,0
466,0
467,1
468,10
469,3
470,0
471,0
472,2
473,4
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,2
486,2
487,4
488,0
489,0
490,0
491,2
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,3
504,1
505,0
506,1
507,2
508,0
509,0
510,2
511,2
512,0
513,3
514,12
515,3
516,1
517,78
518,2
519,23
520,8
521,7
522,10
523,8
524,8
525,0
526,0
527,3
528,0
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,8
545,1
546,0
547,12
548,3
549,2
550,0
551,1
552,5
553,6
554,1
555,8
556,4
557,4
558,2
559,4
560,1
561,0
562,0
563,7
564,3
565,12
566,0
567,0
568,1
569,2
570,7
571,13
572,1
573,0
574,1
575,1
576,2
577,0
578,0
579,3
580,0
581,0
582,19
583,3
584,0
585,0
586,4
587,0
588,7
589,0
590,2
591,11
592,4
593,1
594,0
595,0
596,3
597,0
598,0
599,3
600,3
601,4
602,7
603,1
604,0
605,6
606,3
607,0
608,1
609,0
610,4
611,1
612,10
613,18
614,0
615,10
616,7
617,13
618,0
619,0
620,1
621,14
622,3
623,1
624,0
625,0
626,1
627,0
628,4
629,1
630,16
631,3
632,2
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,4
643,2
644,1
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,2
654,0
655,7
656,2
657,0
658,0
659,0
660,3
661,1
662,0
663,0
664,0
665,1
666,1
667,0
668,0
669,0
670,0
671,14
672,3
673,1
674,1
675,1
676,4
677,0
678,2
679,0
680,1
681,0
682,20
683,0
684,2
685,2
686,5
687,0
688,11
689,2
690,3
691,0
692,0
693,5
694,0
695,0
696,0
697,4
698,4
699,1
700,5
701,1
702,6
703,2
704,0
705,3
706,5
707,3
708,7
709,0
710,3
711,2
712,1
713,2
714,4
715,4
716,3
717,0
718,3
719,7
720,2
721,8
722,1
723,5
724,8
725,5
726,1
727,2
728,3
729,2
730,4
731,1
732,0
733,2
734,0
735,2
736,7
737,0
738,3
739,1
740,1
741,2
742,13
743,5
744,0
745,0
746,1
747,2
748,1
749,5
750,7
751,0
752,4
753,1
754,0
755,2
756,2
757,0
758,4
759,2
760,1
761,2
762,6
763,0
764,4
765,5
766,1
767,1
768,0
769,1
770,2
771,0
772,6
773,2
774,5
775,3
776,2
777,2
778,6
779,3
780,0
781,3
782,2
783,1
784,5
785,2
786,4
787,1
788,1
789,7
790,3
791,6
792,0
793,1
794,0
795,0
796,1
797,0
798,1
799,6
800,7
801,0
802,0
803,0
804,16
805,9
806,11
807,0
808,0
809,3
810,9
811,14
812,0
813,2
814,0
815,4
816,0
817,0
818,0
819,5
820,0
821,0
822,8
823,0
824,0
825,10
826,5
827,5
828,16
829,1
830,0
831,6
832,8
833,0
834,3
835,4
836,4
837,3
838,1
839,2
840,5
841,0
842,2
843,5
844,0
845,3
846,3
847,16
848,6
849,13
850,9
851,0
852,1
853,2
854,3
855,8
856,0
857,11
858,2
859,7
860,2
861,5
862,0
863,1
864,10
865,0
866,0
867,5
868,1
869,12
870,0
871,1
872,0
873,4
874,2
875,1
876,4
877,11
878,3
879,2
880,3
881,0
882,2
883,4
884,2
885,3
886,0
887,0
888,2
889,2
890,9
891,7
892,1
893,3
894,0
895,0
896,69
897,12
898,2
899,8
900,6
901,3
902,3
903,1
904,0
905,1
906,7
907,11
908,11
909,1
910,1
911,0
912,1
913,3
914,17
915,0
916,1
917,2
918,0
919,0
920,0
921,6
922,12
923,19
924,8
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,4
936,11
937,0
938,0
939,18
940,11
941,4
942,5
943,0
944,1
945,0
946,5
947,0
948,2
949,0
950,2
951,4
952,8
953,0
954,1
955,0
956,2
957,1
958,11
959,1
960,4
961,1
962,7
963,3
964,3
965,2
966,0
967,1
968,1
969,0
970,4
971,6
972,2
973,0
974,1
975,7
976,3
977,3
978,0
979,1
980,1
981,1
982,6
983,3
984,0
985,3
986,0
987,2
988,0
989,3
990,1
991,0
992,1
993,4
994,1
995,0
996,2
997,1
998,0
999,4
1000,0
1001,6
1002,3
1003,21
1004,8
1005,1
1006,4
1007,14
1008,3
1009,6
1010,0
1011,8
1012,9
1013,4
1014,4
1015,2
1016,0
1017,14
1018,0
1019,3
1020,3
1021,0
1022,7
1023,13
1024,0
1025,3
1026,0
1027,34
1028,8
1029,3
1030,1
1031,2
1032,1
1033,1
1034,8
1035,0
1036,0
1037,18
1038,17
1039,6
1040,11
1041,2
1042,0
1043,27
1044,0
1045,7
1046,1
1047,0
1048,3
1049,2
1050,2
1051,11
1052,0
1053,3
1054,2
1055,4
1056,2
1057,13
1058,10
1059,1
1060,2
1061,1
1062,0
1063,0
1064,1
1065,6
1066,2
1067,1
1068,0
1069,4
1070,2
1071,20
1072,8
1073,0
1074,0
1075,2
1076,9
1077,10
1078,2
1079,5
1080,3
1081,1
1082,2
1083,2
1084,1
1085,2
1086,1
1087,1
1088,0
1089,3
1090,0
1091,2
1092,1
1093,0
1094,2
1095,0
1096,1
1097,1
1098,1
1099,0
1100,2
1101,2
1102,1
1103,0
1104,24
1105,4
1106,3
1107,3
1108,1
1109,2
1110,1
1111,1
1112,4
1113,2
1114,2
1115,1
1116,2
1117,3
1118,1
1119,2
1120,3
1121,2
1122,7
1123,2
1124,1
1125,1
1126,0
1127,1
1128,1
1129,5
1130,7
1131,1
1132,0
1133,1
1134,4
1135,2
1136,0
1137,3
1138,0
1139,17
1140,4
1141,0
1142,1
1143,0
1144,6
1145,6
1146,0
1147,3
1148,12
1149,7
1150,0
1151,6
1152,11
1153,0
1154,8
1155,5
1156,0
1157,1
1158,10
1159,0
1160,1
1161,3
1162,0
1163,1
1164,0
1165,3
1166,30
1167,25
1168,5
1169,0
1170,4
1171,12
1172,11
1173,7
1174,0
1175,5
1176,2
1177,0
1178,0
1179,0
1180,0
1181,2
1182,1
1183,0
1184,0
1185,0
1186,2
1187,15
1188,2
1189,11
1190,5
1191,2
1192,2
1193,7
1194,2
1195,2
1196,0
1197,0
1198,1
1199,3
1200,0
1201,0
1202,1
1203,2
1204,1
1205,0
1206,9
1207,0
1208,0
1209,6
1210,7
1211,0
1212,2
1213,0
1214,6
1215,0
1216,1
1217,0
1218,4
1219,2
1220,7
1221,0
1222,2
1223,3
1224,0
1225,0
1226,1
1227,8
1228,0
1229,27
1230,10
1231,0
1232,0
1233,4
1234,0
1235,1
1236,0
1237,0
1238,1
1239,0
1240,1
1241,3
1242,0
1243,3
1244,2
1245,4
1246,0
1247,16
1248,10
1249,33
1250,0
1251,0
1252,1
1253,5
1254,2
1255,24
1256,0
1257,2
1258,3
1259,5
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,2
1270,1
1271,4
1272,8
1273,5
1274,0
1275,2
1276,6
1277,0
1278,69
1279,0
1280,0
1281,2
1282,0
1283,3
1284,3
1285,4
1286,0
1287,0
1288,1
1289,13
1290,2
1291,2
1292,2
1293,0
1294,6
1295,3
1296,0
1297,24
1298,0
1299,12
1300,2
1301,2
1302,2
1303,1
1304,1
1305,9
1306,4
1307,0
1308,0
1309,1
1310,1
1311,3
1312,0
1313,1
1314,3
1315,0
1316,6
1317,1
1318,5
1319,2
1320,16
1321,0
1322,1
1323,1
1324,0
1325,4
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,2
1335,0
1336,0
1337,0
1338,0
1339,1
1340,0
1341,0
1342,0
1343,0
1344,0
1345,1
1346,0
1347,2
1348,0
1349,0
1350,0
1351,0
1352,0
1353,30
1354,15
1355,4
1356,3
1357,2
1358,0
1359,4
1360,0
1361,18
1362,7
1363,5
1364,2
1365,4
1366,1
1367,28
1368,0
1369,2
1370,0
1371,11
1372,8
1373,3
1374,0
1375,0
1376,0
1377,4
1378,3
1379,1
1380,1
1381,0
1382,0
1383,0
1384,3
1385,0
1386,0
1387,0
1388,3
1389,0
1390,0
1391,0
1392,0
1393,0
1394,2
1395,2
1396,1
1397,0
1398,0
1399,1
1400,1
1401,0
1402,1
1403,2
1404,0
1405,3
1406,0
1407,0
1408,0
1409,0
1410,4
1411,2
1412,7
1413,15
1414,0
1415,0
1416,0
1417,4
1418,0
1419,9
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,1
1427,0
1428,11
1429,12
1430,0
1431,7
1432,2
1433,1
1434,2
1435,0
1436,3
1437,0
1438,0
1439,0
1440,0
1441,1
1442,6
1443,10
1444,1
1445,1
1446,0
1447,0
1448,3
1449,0
1450,7
1451,0
1452,8
1453,1
1454,4
1455,0
1456,2
1457,2
1458,0
1459,1
1460,7
1461,1
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,17
1473,0
1474,11
1475,1
1476,2
1477,0
1478,0
1479,2
1480,2
1481,0
1482,0
1483,0
1484,9
1485,8
1486,1
1487,0
1488,0
1489,2
1490,0
1491,0
1492,0
1493,0
1494,0
1495,2
1496,0
1497,0
1498,1
1499,0
1500,0
1501,0
1502,0
1503,4
1504,0
1505,3
1506,4
1507,3
1508,4
1509,0
1510,0
1511,6
1512,0
1513,0
1514,1
1515,0
1516,13
1517,0
1518,4
1519,2
1520,0
1521,0
1522,3
1523,1
1524,0
1525,0
1526,5
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,13
1535,0
1536,0
1537,0
1538,0
1539,3
1540,6
1541,8
1542,1
1543,0
1544,0
1545,1
1546,0
1547,0
1548,0
1549,4
1550,0
1551,0
1552,0
1553,3
1554,4
1555,1
1556,2
1557,0
1558,3
1559,0
1560,25
1561,30
1562,34
1563,7
1564,3
1565,2
1566,3
1567,0
1568,0
1569,0
1570,2
1571,0
1572,3
1573,5
1574,0
1575,2
1576,6
1577,2
1578,6
1579,0
1580,12
1581,0
1582,2
1583,3
1584,12
1585,5
1586,8
1587,2
1588,4
1589,0
1590,0
1591,1
1592,0
1593,0
1594,0
1595,4
1596,2
1597,1
1598,0
1599,0
1600,5
1601,0
1602,5
1603,2
1604,0
1605,0
1606,0
1607,5
1608,0
1609,0
1610,0
1611,9
1612,19
1613,0
1614,0
1615,3
1616,3
1617,2
1618,2
1619,2
1620,1
1621,3
1622,3
1623,0
1624,1
1625,7
1626,3
1627,4
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,2
1636,0
1637,0
1638,0
1639,1
1640,0
1641,0
1642,1
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,1
1651,0
1652,0
1653,2
1654,0
1655,0
1656,6
1657,4
1658,13
1659,9
1660,3
1661,1
1662,0
1663,0
1664,8
1665,1
1666,1
1667,1
1668,0
1669,5
1670,2
1671,0
1672,5
1673,4
1674,4
1675,1
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,1
1683,3
1684,11
1685,6
1686,1
1687,0
1688,0
1689,0
1690,1
1691,0
1692,3
1693,13
1694,1
1695,1
1696,12
1697,2
1698,1
1699,0
1700,0
1701,0
1702,0
1703,7
1704,27
1705,19
1706,0
1707,1
1708,7
1709,0
1710,3
1711,8
1712,2
1713,12
1714,2
1715,2
1716,4
1717,0
1718,0
1719,5
1720,1
1721,5
1722,5
1723,0
1724,15
1725,1
1726,0
1727,2
1728,42
1729,6
1730,2
1731,0
1732,13
