bin_id,bin_size,block_id,block_size,block_sample
1,988,1,247,5
1,988,2,247,5
1,988,3,247,5
1,988,4,247,5
2,3152,5,287,6
2,3152,6,287,6
2,3152,7,287,6
2,3152,8,287,6
2,3152,9,287,6
2,3152,10,287,6
2,3152,11,286,6
2,3152,12,286,6
2,3152,13,286,6
2,3152,14,286,6
2,3152,15,286,6
3,923,16,231,5
3,923,17,231,5
3,923,18,231,5
3,923,19,230,5
4,18,20,18,1
